framework,model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time
pytorch,MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.0009751319885253906,0.0,0.0,4.506111145019531e-05,6.29425048828125e-05
pytorch,MLP,3,64,4,relu,float32,biharmonic,reverse_forward,0.0009968280792236328,0.0,0.0,4.506111145019531e-05,6.29425048828125e-05
pytorch,MLP,3,64,4,relu,float32,biharmonic,forward_forward,0.0018160343170166016,0.0,0.0,4.506111145019531e-05,6.29425048828125e-05
pytorch,MLP,3,64,4,relu,float32,biharmonic,forward_reverse,0.001878976821899414,0.0,0.0,4.506111145019531e-05,6.29425048828125e-05
pytorch,MLP,10,64,4,tanh,float32,laplacian,reverse_reverse,0.0012578964233398438,0.03708108887076378,0.0,7.700920104980469e-05,0.00011491775512695312
pytorch,MLP,10,64,4,tanh,float32,laplacian,reverse_forward,0.0012230873107910156,0.03708108887076378,0.0,7.700920104980469e-05,0.00011491775512695312
pytorch,MLP,10,64,4,tanh,float32,laplacian,forward_forward,0.0023779869079589844,0.03708108887076378,0.0,7.700920104980469e-05,0.00011491775512695312
pytorch,MLP,10,64,4,tanh,float32,laplacian,forward_reverse,0.0024080276489257812,0.03708108887076378,0.0,7.700920104980469e-05,0.00011491775512695312
pytorch,MLP,10,64,4,tanh,float32,biharmonic,reverse_reverse,0.05400395393371582,0.0008407062850892544,0.0,4.7206878662109375e-05,6.794929504394531e-05
pytorch,MLP,10,64,4,tanh,float32,biharmonic,reverse_forward,0.05544686317443848,0.0008407062850892544,0.0,4.7206878662109375e-05,6.794929504394531e-05
pytorch,MLP,10,64,4,tanh,float32,biharmonic,forward_forward,0.09111499786376953,0.0008407093118876219,9.161508357502512e-18,4.7206878662109375e-05,6.794929504394531e-05
pytorch,MLP,10,64,4,tanh,float32,biharmonic,forward_reverse,0.09114289283752441,0.0008407093118876219,9.161508357502512e-18,4.7206878662109375e-05,6.794929504394531e-05
pytorch,MLP,10,64,4,relu,float32,laplacian,reverse_reverse,0.0010728836059570312,0.0,0.0,4.792213439941406e-05,6.29425048828125e-05
pytorch,MLP,10,64,4,relu,float32,laplacian,reverse_forward,0.0011060237884521484,0.0,0.0,4.792213439941406e-05,6.29425048828125e-05
pytorch,MLP,10,64,4,relu,float32,laplacian,forward_forward,0.0025491714477539062,0.0,0.0,4.792213439941406e-05,6.29425048828125e-05
pytorch,MLP,10,64,4,relu,float32,laplacian,forward_reverse,0.002234935760498047,0.0,0.0,4.792213439941406e-05,6.29425048828125e-05
pytorch,MLP,10,64,4,relu,float32,biharmonic,reverse_reverse,0.002752065658569336,0.0,0.0,4.887580871582031e-05,7.605552673339844e-05
pytorch,MLP,10,64,4,relu,float32,biharmonic,reverse_forward,0.0027000904083251953,0.0,0.0,4.887580871582031e-05,7.605552673339844e-05
pytorch,MLP,10,64,4,relu,float32,biharmonic,forward_forward,0.011221885681152344,0.0,0.0,4.887580871582031e-05,7.605552673339844e-05
pytorch,MLP,10,64,4,relu,float32,biharmonic,forward_reverse,0.011960744857788086,0.0,0.0,4.887580871582031e-05,7.605552673339844e-05
pytorch,ResNet,3,64,4,tanh,float32,laplacian,reverse_reverse,0.0007419586181640625,-0.15337461233139038,0.0,9.012222290039062e-05,0.00010895729064941406
pytorch,ResNet,3,64,4,tanh,float32,laplacian,reverse_forward,0.0007009506225585938,-0.15337461233139038,0.0,9.012222290039062e-05,0.00010895729064941406
pytorch,ResNet,3,64,4,tanh,float32,laplacian,forward_forward,0.0012297630310058594,-0.15337461233139038,0.0,9.012222290039062e-05,0.00010895729064941406
pytorch,ResNet,3,64,4,tanh,float32,laplacian,forward_reverse,0.001420736312866211,-0.15337461233139038,0.0,9.012222290039062e-05,0.00010895729064941406
pytorch,ResNet,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.010204315185546875,0.531214714050293,0.0,8.177757263183594e-05,9.512901306152344e-05
pytorch,ResNet,3,64,4,tanh,float32,biharmonic,reverse_forward,0.010440826416015625,0.531214714050293,0.0,8.177757263183594e-05,9.512901306152344e-05
pytorch,ResNet,3,64,4,tanh,float32,biharmonic,forward_forward,0.015034198760986328,0.5312148332595825,1.4210854715202004e-14,8.177757263183594e-05,9.512901306152344e-05
pytorch,ResNet,3,64,4,tanh,float32,biharmonic,forward_reverse,0.015872955322265625,0.5312148332595825,1.4210854715202004e-14,8.177757263183594e-05,9.512901306152344e-05
pytorch,ResNet,3,64,4,relu,float32,laplacian,reverse_reverse,0.0006849765777587891,0.0,0.0,8.177757263183594e-05,9.5367431640625e-05
pytorch,ResNet,3,64,4,relu,float32,laplacian,reverse_forward,0.0006849765777587891,0.0,0.0,8.177757263183594e-05,9.5367431640625e-05
pytorch,ResNet,3,64,4,relu,float32,laplacian,forward_forward,0.0010418891906738281,0.0,0.0,8.177757263183594e-05,9.5367431640625e-05
pytorch,ResNet,3,64,4,relu,float32,laplacian,forward_reverse,0.0011820793151855469,0.0,0.0,8.177757263183594e-05,9.5367431640625e-05
pytorch,ResNet,3,64,4,relu,float32,biharmonic,reverse_reverse,0.0019168853759765625,0.0,0.0,8.130073547363281e-05,0.00011610984802246094
pytorch,ResNet,3,64,4,relu,float32,biharmonic,reverse_forward,0.0016930103302001953,0.0,0.0,8.130073547363281e-05,0.00011610984802246094
