framework,model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time
tensorflow,MLP,3,64,4,relu,float64,biharmonic,reverse_forward,0.023092985153198242,0.0,0.0,0.018898725509643555,0.0001461505889892578
tensorflow,MLP,3,64,4,relu,float64,biharmonic,forward_forward,0.03997325897216797,0.0,0.0,0.018898725509643555,0.0001461505889892578
tensorflow,MLP,3,64,4,relu,float64,biharmonic,forward_reverse,0.039498090744018555,0.0,0.0,0.018898725509643555,0.0001461505889892578
tensorflow,MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.014798164367675781,-0.13746735453605652,0.0,0.02485203742980957,0.00044417381286621094
tensorflow,MLP,3,64,4,tanh,float32,laplacian,reverse_forward,0.011505842208862305,-0.13746735453605652,0.0,0.02485203742980957,0.00044417381286621094
tensorflow,MLP,3,64,4,tanh,float32,laplacian,forward_forward,0.02728104591369629,-0.13746735453605652,0.0,0.02485203742980957,0.00044417381286621094
tensorflow,MLP,3,64,4,tanh,float32,laplacian,forward_reverse,0.026862144470214844,-0.13746735453605652,0.0,0.02485203742980957,0.00044417381286621094
tensorflow,MLP,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.06789875030517578,1.0197087526321411,0.0,0.018710851669311523,0.00015735626220703125
tensorflow,MLP,3,64,4,tanh,float32,biharmonic,reverse_forward,0.06660318374633789,1.0197087526321411,0.0,0.018710851669311523,0.00015735626220703125
tensorflow,MLP,3,64,4,tanh,float32,biharmonic,forward_forward,0.08166122436523438,1.0197087526321411,0.0,0.018710851669311523,0.00015735626220703125
tensorflow,MLP,3,64,4,tanh,float32,biharmonic,forward_reverse,0.08144021034240723,1.0197087526321411,0.0,0.018710851669311523,0.00015735626220703125
tensorflow,MLP,3,64,4,tanh,float64,laplacian,reverse_reverse,0.01577615737915039,0.00890074297785759,0.0,0.02524399757385254,0.00045609474182128906
tensorflow,MLP,3,64,4,tanh,float64,laplacian,reverse_forward,0.011767864227294922,0.00890074297785759,0.0,0.02524399757385254,0.00045609474182128906
tensorflow,MLP,3,64,4,tanh,float64,laplacian,forward_forward,0.027976036071777344,0.00890074297785759,0.0,0.02524399757385254,0.00045609474182128906
tensorflow,MLP,3,64,4,tanh,float64,laplacian,forward_reverse,0.028303146362304688,0.00890074297785759,0.0,0.02524399757385254,0.00045609474182128906
tensorflow,MLP,3,64,4,tanh,float64,biharmonic,reverse_reverse,0.07088303565979004,0.5480482494458556,0.0,0.09551596641540527,0.00015997886657714844
tensorflow,MLP,3,64,4,tanh,float64,biharmonic,reverse_forward,0.06664085388183594,0.5480482494458556,0.0,0.09551596641540527,0.00015997886657714844
tensorflow,MLP,3,64,4,tanh,float64,biharmonic,forward_forward,0.08416318893432617,0.5480482494458556,0.0,0.09551596641540527,0.00015997886657714844
tensorflow,MLP,3,64,4,tanh,float64,biharmonic,forward_reverse,0.08325624465942383,0.5480482494458556,0.0,0.09551596641540527,0.00015997886657714844
tensorflow,MLP,3,64,4,relu,float32,laplacian,reverse_reverse,0.01487588882446289,0.0,0.0,0.026332855224609375,0.0004889965057373047
tensorflow,MLP,3,64,4,relu,float32,laplacian,reverse_forward,0.010740995407104492,0.0,0.0,0.026332855224609375,0.0004889965057373047
tensorflow,MLP,3,64,4,relu,float32,laplacian,forward_forward,0.026462793350219727,0.0,0.0,0.026332855224609375,0.0004889965057373047
tensorflow,MLP,3,64,4,relu,float32,laplacian,forward_reverse,0.02603006362915039,0.0,0.0,0.026332855224609375,0.0004889965057373047
tensorflow,MLP,3,64,4,relu,float32,biharmonic,reverse_reverse,0.02330493927001953,0.0,0.0,0.018611907958984375,0.00014591217041015625
tensorflow,MLP,3,64,4,relu,float32,biharmonic,reverse_forward,0.02227306365966797,0.0,0.0,0.018611907958984375,0.00014591217041015625
tensorflow,MLP,3,64,4,relu,float32,biharmonic,forward_forward,0.03866910934448242,0.0,0.0,0.018611907958984375,0.00014591217041015625
tensorflow,MLP,3,64,4,relu,float32,biharmonic,forward_reverse,0.04032015800476074,0.0,0.0,0.018611907958984375,0.00014591217041015625
tensorflow,MLP,3,64,4,relu,float64,laplacian,reverse_reverse,0.015276670455932617,0.0,0.0,0.025152921676635742,0.00045800209045410156
tensorflow,MLP,3,64,4,relu,float64,laplacian,reverse_forward,0.01134490966796875,0.0,0.0,0.025152921676635742,0.00045800209045410156
tensorflow,MLP,3,64,4,relu,float64,laplacian,forward_forward,0.028234004974365234,0.0,0.0,0.025152921676635742,0.00045800209045410156
tensorflow,MLP,3,64,4,relu,float64,laplacian,forward_reverse,0.02689981460571289,0.0,0.0,0.025152921676635742,0.00045800209045410156
tensorflow,MLP,3,64,4,relu,float64,biharmonic,reverse_reverse,0.02651190757751465,0.0,0.0,0.019357919692993164,0.00017404556274414062
tensorflow,MLP,3,64,4,relu,float64,biharmonic,reverse_forward,0.025086164474487305,0.0,0.0,0.019357919692993164,0.00017404556274414062
tensorflow,MLP,3,64,4,relu,float64,biharmonic,forward_forward,0.040444135665893555,0.0,0.0,0.019357919692993164,0.00017404556274414062
tensorflow,MLP,3,64,4,relu,float64,biharmonic,forward_reverse,0.03992509841918945,0.0,0.0,0.019357919692993164,0.00017404556274414062
tensorflow,MLP,3,64,4,tanh,float32,laplacian,reverse_reverse,0.01503610610961914,0.3957623243331909,0.0,0.02476024627685547,0.00045013427734375
