x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,f(x),laplacian,biharmonic,model,input_dim,output_dim,hidden_dim,num_layers,activation,precision
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-0.17675195634365082,0.0,0.0,MLP,10,1,64,4,relu,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-0.28704848885536194,-0.31950899958610535,9.379213333129883,MLP,10,3,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-0.28704848885536194,-0.31950899958610535,9.379213333129883,MLP,10,3,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-0.3939928412437439,0.0,0.0,MLP,10,3,64,4,relu,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-0.3939928412437439,0.0,0.0,MLP,10,3,64,4,relu,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,1.5976130962371826,-2.3678526878356934,4.046700954437256,MLP,10,10,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,1.5976130962371826,-2.3678526878356934,4.046700954437256,MLP,10,10,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-0.12729550898075104,0.0,0.0,MLP,10,10,64,4,relu,float32
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,-0.12729550898075104,0.0,0.0,MLP,10,10,64,4,relu,float64
0.60576403,0.7990441,-0.908927,,,,,,,,0.08676192909479141,0.989741325378418,-51.79889678955078,ResNet,3,1,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,,,,,,,,0.08676192909479141,0.989741325378418,-51.79889678955078,ResNet,3,1,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,,,,,,,,0.9653692245483398,0.0,0.0,ResNet,3,1,64,4,relu,float32
0.60576403,0.7990441,-0.908927,,,,,,,,0.9653692245483398,0.0,0.0,ResNet,3,1,64,4,relu,float64
0.60576403,0.7990441,-0.908927,,,,,,,,-1.2851967811584473,3.007685422897339,-46.690773010253906,ResNet,3,3,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,,,,,,,,-1.2851967811584473,3.007685422897339,-46.690773010253906,ResNet,3,3,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,,,,,,,,-1.6880054473876953,0.0,0.0,ResNet,3,3,64,4,relu,float32
0.60576403,0.7990441,-0.908927,,,,,,,,-1.6880054473876953,0.0,0.0,ResNet,3,3,64,4,relu,float64
0.60576403,0.7990441,-0.908927,,,,,,,,2.218003273010254,1.2836304903030396,-35.81532287597656,ResNet,3,10,64,4,tanh,float32
0.60576403,0.7990441,-0.908927,,,,,,,,2.218003273010254,1.2836304903030396,-35.81532287597656,ResNet,3,10,64,4,tanh,float64
0.60576403,0.7990441,-0.908927,,,,,,,,0.5759080052375793,0.0,0.0,ResNet,3,10,64,4,relu,float32
0.60576403,0.7990441,-0.908927,,,,,,,,0.5759080052375793,0.0,0.0,ResNet,3,10,64,4,relu,float64
0.60576403,0.7990441,-0.908927,-0.63525754,-1.2226585,-0.83226097,-0.47417238,-1.2504351,-0.17678244,-0.049175136,0.3381236791610718,-2.1874442100524902,38.78512954711914,ResNet,10,1,64,4,tanh,float32
