framework,model,input_dim,hidden_dim,num_layers,activation,precision,operator,mode,time,value,mse,baseline_f_time,baseline_grad_time
jax,MLP,3,64,4,relu,float32,biharmonic,reverse_forward,0.3683509826660156,0.0,0.0,0.005582094192504883,0.010076761245727539
jax,MLP,3,64,4,relu,float32,biharmonic,forward_forward,0.7084579467773438,0.0,0.0,0.005582094192504883,0.010076761245727539
jax,MLP,3,64,4,relu,float32,biharmonic,forward_reverse,0.33989405632019043,0.0,0.0,0.005582094192504883,0.010076761245727539
jax,MLP,10,64,4,tanh,float32,laplacian,reverse_reverse,0.14508581161499023,-0.5105333924293518,0.0,0.005415201187133789,0.008919954299926758
jax,MLP,10,64,4,tanh,float32,laplacian,reverse_forward,0.14551186561584473,-0.5105333924293518,0.0,0.005415201187133789,0.008919954299926758
jax,MLP,10,64,4,tanh,float32,laplacian,forward_forward,0.8090288639068604,-0.7393534183502197,0.05235860426242667,0.005415201187133789,0.008919954299926758
jax,MLP,10,64,4,tanh,float32,laplacian,forward_reverse,0.5001599788665771,-0.13359522819519043,0.14208237965621962,0.005415201187133789,0.008919954299926758
jax,MLP,10,64,4,tanh,float32,biharmonic,reverse_reverse,4.599748134613037,0.4891672432422638,0.0,0.005207061767578125,0.008976936340332031
jax,MLP,10,64,4,tanh,float32,biharmonic,reverse_forward,4.625014066696167,0.4891672432422638,0.0,0.005207061767578125,0.008976936340332031
jax,MLP,10,64,4,tanh,float32,biharmonic,forward_forward,7.63217306137085,0.3797021806240082,0.011982599934018623,0.005207061767578125,0.008976936340332031
jax,MLP,10,64,4,tanh,float32,biharmonic,forward_reverse,5.305186986923218,0.3797021806240082,0.011982599934018623,0.005207061767578125,0.008976936340332031
jax,MLP,10,64,4,relu,float32,laplacian,reverse_reverse,0.15565705299377441,0.0,0.0,0.005814790725708008,0.010611295700073242
jax,MLP,10,64,4,relu,float32,laplacian,reverse_forward,0.15447282791137695,0.0,0.0,0.005814790725708008,0.010611295700073242
jax,MLP,10,64,4,relu,float32,laplacian,forward_forward,0.4423067569732666,0.0,0.0,0.005814790725708008,0.010611295700073242
jax,MLP,10,64,4,relu,float32,laplacian,forward_reverse,0.21340513229370117,0.0,0.0,0.005814790725708008,0.010611295700073242
jax,MLP,10,64,4,relu,float32,biharmonic,reverse_reverse,2.9559271335601807,0.0,0.0,0.0061528682708740234,0.011190176010131836
jax,MLP,10,64,4,relu,float32,biharmonic,reverse_forward,3.157473087310791,0.0,0.0,0.0061528682708740234,0.011190176010131836
jax,MLP,10,64,4,relu,float32,biharmonic,forward_forward,6.388762950897217,0.0,0.0,0.0061528682708740234,0.011190176010131836
jax,MLP,10,64,4,relu,float32,biharmonic,forward_reverse,3.2783946990966797,0.0,0.0,0.0061528682708740234,0.011190176010131836
jax,ResNet,3,64,4,tanh,float32,laplacian,reverse_reverse,0.08664798736572266,0.9897412657737732,0.0,0.009020090103149414,0.01460576057434082
jax,ResNet,3,64,4,tanh,float32,laplacian,reverse_forward,0.08670186996459961,0.9897412657737732,0.0,0.009020090103149414,0.01460576057434082
jax,ResNet,3,64,4,tanh,float32,laplacian,forward_forward,0.16547870635986328,2.1258773803710938,1.290805270892296,0.009020090103149414,0.01460576057434082
jax,ResNet,3,64,4,tanh,float32,laplacian,forward_reverse,0.11521387100219727,0.6423631310462952,0.12067156848674188,0.009020090103149414,0.01460576057434082
jax,ResNet,3,64,4,tanh,float32,biharmonic,reverse_reverse,0.972031831741333,126.852783203125,0.0,0.008883953094482422,0.014670133590698242
jax,ResNet,3,64,4,tanh,float32,biharmonic,reverse_forward,0.8933839797973633,126.852783203125,0.0,0.008883953094482422,0.014670133590698242
jax,ResNet,3,64,4,tanh,float32,biharmonic,forward_forward,1.2797648906707764,2.905485153198242,15362.932693877377,0.008883953094482422,0.014670133590698242
jax,ResNet,3,64,4,tanh,float32,biharmonic,forward_reverse,0.9580459594726562,2.9054946899414062,15362.930329770374,0.008883953094482422,0.014670133590698242
jax,ResNet,3,64,4,relu,float32,laplacian,reverse_reverse,0.10031700134277344,0.0,0.0,0.010294914245605469,0.018435955047607422
jax,ResNet,3,64,4,relu,float32,laplacian,reverse_forward,0.09380388259887695,0.0,0.0,0.010294914245605469,0.018435955047607422
jax,ResNet,3,64,4,relu,float32,laplacian,forward_forward,0.1635129451751709,0.0,0.0,0.010294914245605469,0.018435955047607422
jax,ResNet,3,64,4,relu,float32,laplacian,forward_reverse,0.09929394721984863,0.0,0.0,0.010294914245605469,0.018435955047607422
